producto,descripcion,codigo_cliente,resina_1,categoria,estado
016308-01MX-ISR-F-Z1,Side Cover RH Gray,016308-01MX/00,POLYFORT PP 2268X-01 NATURAL,PFA00,Activo
016308-02MX-ISR-F-Z1,Side Cover RH Black,016308-02MX/00,POLYFORT PP 2268X-01 NATURAL,PFA00,Activo
016308-03MX-ISR-F-Z1,SIDE COVER RH BENEKE,016308-03MX/00,POLYFORT PP 2268X-01 NATURAL,PFA00,Activo
042-81-A-MTZ1,CORE JACKET 042-81,63160-042-81,RYNITE 935 BK 505,PFA00,Activo
042-81-SEMI-MTZ1,CORE JACKET 042-81 SEMITERMINA,63160-042-81,RYNITE 935 BK 505,SFA00,Activo
042-MT-F-Z1,4-POLE DECK,31128-042-01,VALOX 553 GRIS 8051,PFA00,Activo
043-MT-F-Z1,UPPER HOUSING,31128-043-01,VALOX 553 GRIS 8051,PFB00,Activo
050-21-F-MTZ1,CORE JACKET 050-21,63160-050-21,RYNITE 935 BK 505,PFA00,Activo
050-37-F-MTZ1,CORE JACKET 050-37,63160-050-37,RYNITE 935 BK 505,PFA00,Activo
050-65-F-MTZ1,CORE JACKET 050-65,63160-050-65,RYNITE 935 BK 505,PFA00,Activo
050-78-F-MTZ1,CORE JACKET 050-78,63160-050-78,RYNITE 935 BK 505,PFA00,Activo
07008008016-NM-F-Z1,T-Connector Nikola,7 008 008 016,Vydyne R530H Black,PFA00,Activo
07008009016-NM-F-Z1,T-CONNECTOR Nikola,7 008 009 016,GRILAMID LV-3H BLACK 9288,PFA00,Activo
07028301016-NM-F-Z1,Double spigot NW16-16-0° ,7 028 301 016,Vydyne R530H Black,PFA00,Activo
073-01-F-MTZ1,CASE HALF,39007-073-01,RYNITE 935 BK 505,PFA00,Activo
074-01-F-MTZ1,TERMINAL HOUSING 2POLE FOR CUR,39007-074-01,RYNITE 935 BK 505,PFA00,Activo
07868127016-NM-F-Z1,DOUBLE SPIGOT Nikola,7 868 127 016,ULTRAMID A3HG6 HR BK23591,PFA00,Activo
085-HR-F-Z1,HANDLE SIDERAIL,71085,ZYTEL ST801A NC010,PFA00,Activo
095-TL-F-NEZ1,BLACK HANDLE,40520-095-04,POLIETILENO DMDA 8907,PFA00,Activo
095-TL-F-ROZ1,RED HANDLE,40520-095-03,POLIETILENO DMDA 8907,PFA00,Activo
1006044-LT-F-Z1,BOBBIN 46/54 EI57 LAM-.765x1.0,1006044,RYNITE FR530 NC010,PFA00,No utilizable
10177801-BMM-F-Z1,COVER 7801,3.466.032.01.00,EXXONMOBIL LDPE LD 123.LN,PFB00,Activo
10208023-00-TES-F-Z1,SPOOL HOUSING FOR SK,10208023-00,SCI-PC121907,PFA00,Activo
10217941-ISR-F-Z1,HANDLE 1,10217941-01/00,POLYLAC PA-727 Natural,PFA00,Activo
10262554-BMM-F-Z1,NUT,374100001S01,RTP 284A BLACK,PFA00,Activo
10279588-BMM-F-Z1,LOWER HOUSING BUEHLER,311411001S01,ULTRAMID B3GM35 BK 60564,PFB00,Activo
10279590-BMM-F-Z1,UPPER HOUSING BUEHLER,311511101S02,ULTRAMID B3GM35 BK 60564,PFB00,Activo
108780-STA-F-Z1,PROTECTIVE TUBE SPRING 108780,108780,ECOMID B GF20 BK 9005/Z,PFA00,Activo
109749-STA-F-Z1,SPRING SLEEVE,109749,DELRIN 500PE BK 602,PFA00,Activo
116806-01MX-ISR-F-Z1,Front Cover Gray,116806-01MX/00,POLYFORT PP 2268X-01 NATURAL,PFA00,Activo
116806-02MX-ISR-F-Z1,FRONT COVER BLACK,116806-02MX/00,POLYFORT PP 2268X-01 NATURAL,PFA00,Activo
119512-TOD-PHEH-Z1,STANDARD 60T UNIVERSAL SPST CO,119512,,PFA00,Activo
119512-TOD-PHE-Z1/0,STANDARD 60T UNIVERSAL SPST CO,119512,,SFA00,Activo
119512-TOD-PHE-Z1/1,STANDARD 60T UNIVERSAL SPST CO,119512,,SFA00,Activo
1220-0450-SRE-F-Z1,HOUSING- HWA,1220-0450,NORYL N190X - BLACK 701,PFA00,Activo
1220-0451-SRE-F-Z1,HSG  COVER MOD HWA,1220-0451,NORYL N190X - BLACK 701,PFA00,Activo
1222-0440-SRE-F-Z1,HSG  BASE' TP-MOV' IMA,1222-0440,NORYL N190X - BLACK 701,PFA00,Activo
1222-0441-SRE-F-Z1,HSG' COVER' TP-MOV' IMA,1222-0441,NORYL N190X - BLACK 701,PFB00,Activo
1222-0442-SRE-F-Z1,HSG' BASE' IBA,1222-0442,NORYL N190X - BLACK 701,PFA00,Activo
1222-0443-SRE-F-Z1,HSG' COVER' IBA,1222-0443,NORYL N190X - BLACK 701,PFA00,Activo
1222-0446-SRE-F-Z1,BARRIER' PLASTIC' IBA,1222-0446,NORYL N190X - BLACK 701,PFA00,Activo
124LATER-RG-F-Z1,SUPPORT BASE L,40533-124-02,LATER 4 G/30-V0 BLACK 3319 Y1,PFA00,Activo
1250-0404-SRE-F-Z1,HOUSING-BASE' AC MODULE,1250-0404,NORYL N190X - BLACK 701,PFA00,Activo
1250-0405-SRE-F-Z1,HOUSING-LID' AC MODULE,1250-0405,NORYL N190X - BLACK 701,PFA00,Activo
1291-0400-SRE-F-Z1,HOUSING SDSA 1175,1291-0400,NORYL N190X - BLACK 701,PFA00,Activo
1291-0401-SRE-F-Z1,HOUSING - COVER SDSA1175,1291-0401,NORYL N190X - BLACK 701,PFA00,Activo
1291-0403-SRE-F-Z1,HOUSING' TOP' SIDE NIPPLE XR ,1291-0403,NORYL N190X - BLACK 701,PFA00,Activo
1291-0404-SRE-F-Z1,HOUSING' COVER' XR,1291-0404,NORYL N190X - BLACK 701,PFA00,Activo
1291-0405-SRE-F-Z1,HSG TOP SDSA3650,1291-0405,NORYL N190X - BLACK 701,PFB00,Activo
1291-0406-SRE-F-Z1,HSG COVER SDSA3650,1291-0406,NORYL N190X - BLACK 701,PFA00,Activo
136-CR-F-40Z1,STRAIGHT BODY 7.89 MM 2O`RINGS,T50136 100 40,RILSAMID AZM30 BLK T6L D,PFA00,Activo
136-CR-F-50Z1,STRAIGHT BODY 7.89mm 2o`rings,T50136 100 50,RILSAMID ASR13,PFA00,Activo
137-CC-F-40Z1,ELBOW BODY 7.89mm SL 2o`rings,T50137 100 40,RILSAMID AZM30 BLK T6L D,PFA00,No utilizable
137-CC-F-50Z1,ELBOW BODY 7.89mm SL  2o`rings,T50137 100 50,RILSAMID ASR13,PFA00,Activo
1400-0400-SRE-F-Z1,HSG' NQ' SUPERBRICK,1400-0400,NORYL N190X - BLACK 701,PFA00,Activo
1400-0401-SRE-F-Z1,LID HSG NQ SUPERBRICK,1400-0401,NORYL N190X - BLACK 701,PFA00,Activo
1400-0403-SRE-F-Z1,HSG' DIAG' NQ' SUPERBRICK,1400-0403,PC ABS C2800 111 NAT CYCOLOY ,PFA00,Activo
143347-HR-F-Z1,PAD FOOT (GREEN),143347,ZYTEL ST801A NC010,PFA00,Activo
143348-HR-F-Z1,PAD FOOT (ORANGE),143348,ZYTEL ST801A NC010,PFA00,Activo
1445681-1-TEH-F-Z1,DIELECTRIC INNER PIN QUADRAX,1445681-1,MITSUI TPX-MBZ 230 PMP NATURAL,PFA00,Activo
1445695-1-TEH-F-Z1,INSERT FRONT PIN QUADRX,1445695-1,MITSUI TPX-MBZ 230 PMP NATURAL,PFA00,Activo
1445695-2-TEH-F-Z1,INSERT FRON PIN QUADRAX,1445695-2,MITSUI TPX-MBZ 230 PMP NATURAL,PFA00,Activo
1445703-1-TEH-F-Z1,INSERT FRONT SOCKET QUADRAX,1445703-1,MITSUI TPX-MBZ 230 PMP NATURAL,PFA00,Activo
1445703-2-TEH-F-Z1,INSERT FRONT SOCKET QUADRAX,1445703-2,MITSUI TPX-MBZ 230 PMP NATURAL,PFA00,Activo
145LATER-RG-F-Z1,BASE MOLDEADA 7T-100 Y 200 A. ,40525-145-02,LATER 4 G/30-V0 BLACK 3319 Y1,PFA00,Activo
146LATER-RG-F-Z1,BY-PASS BASE L,40525-146-02,LATER 4 G/30-V0 BLACK 3319 Y1,PFA00,Activo
1600887-FEH-F-Z1,CARRIER DR FL BUS-FRONT,1600887-000,Polyram Polytron P50B01 BLACK,PFA00,No utilizable
1601885-FEH-F-Z1,Inner Bushing,1601885,KEPITAL F20-03 LOF BBK BLACK,PFA00,Activo
1601886-FEH-F-Z1,SPACER SLEEVE,1601886,LUVOCOM® 80/TF/18/SI/2 NATURAL,PFA00,Activo
1601887-FEH-F-Z1,Outer Bushing,1601887,KEPITAL F20-03 LOF BBK BLACK,PFA00,Activo
1630393A-FEH-F-Z1,Armrest Bezel LH NEGRO,FE470290102702080,SCHULABLEND (ABS/PA) M/MK K200,PFB00,Activo
1630393B-FEH-F-Z1,ARMREST BEZEL LH CANBERRA BEIG,FE470290102702000,SCHULABLEND (ABS/PA) M/MK K200,PFB00,Activo
1630393C-FEH-F-Z1,ARMREST BEZEL LH BLANCO IVORY,FE470290102702050,SCHULABLEND (ABS/PA) M/MK K200,PFB00,Activo
1630394A-FEH-F-Z1,ARMREST BEZEL RH NEGRO,FE470290102802080,SCHULABLEND (ABS/PA) M/MK K200,PFB00,Activo
1630394B-FEH-F-Z1,ARMREST BEZEL RH CANBERRA BEIG,FE470290102802000,SCHULABLEND (ABS/PA) M/MK K200,PFB00,Activo
1630394C-FEH-F-Z1,ARMREST BEZEL RH BLANCO IVORY,FE470290102802050,SCHULABLEND (ABS/PA) M/MK K200,PFB00,Activo
1630397-FEH-F-Z1,HOUSING LH,1630397,SCHULABLEND (ABS/PA) M/MK K200,PFB00,Activo
1630398-FEH-F-Z1,HOUSING RH,1630398,SCHULABLEND (ABS/PA) M/MK K200,PFB00,Activo
1630399A-FEH-F-Z1,BEZEL INNER LH NEGRO,FE1630399,SCHULABLEND (ABS/PA) M/MK K200,PFB00,Activo
1630399B-FEH-F-Z1,BEZEL INNER LH CANBERRA BEIGE,FE1630898,SCHULABLEND (ABS/PA) M/MK K200,PFB00,Activo
1630399C-FEH-F-Z1,BEZEL INNER LH IVORY BLANCO,FE1630900,SCHULABLEND (ABS/PA) M/MK K200,PFB00,Activo
1630400A-FEH-F-Z1,BEZEL INNER RH NEGRO,FE1630400,SCHULABLEND (ABS/PA) M/MK K200,PFB00,Activo
1630400B-FEH-F-Z1,BEZEL INNER RH CANBERRA BEIGE,FE1630899,SCHULABLEND (ABS/PA) M/MK K200,PFB00,Activo
1630400C-FEH-F-Z1,BEZEL INNER RH IVORY BLANCO,FE1630901,SCHULABLEND (ABS/PA) M/MK K200,PFB00,Activo
1630401A-FEH-F-Z1,BEZEL OUTER LH NEGRO,FE1630401,SCHULABLEND (ABS/PA) M/MK K200,PFB00,Activo
1630401B-FEH-F-Z1,BEZEL OUTER LH CANBERRA BEIGE,FE1630894,SCHULABLEND (ABS/PA) M/MK K200,PFB00,Activo
1630401C-FEH-F-Z1,BEZEL OUTER LH IVORY BLANCO,FE1630896,SCHULABLEND (ABS/PA) M/MK K200,PFB00,Activo
1630402A-FEH-F-Z1,BEZEL OUTER RH NEGRO,FE1630402,SCHULABLEND (ABS/PA) M/MK K200,PFB00,Activo
1630402B-FEH-F-Z1,BEZEL OUTER RH CANBERRA BEIGE,FE1630895,SCHULABLEND (ABS/PA) M/MK K200,PFB00,Activo
1630402C-FEH-F-Z1,BEZEL OUTER RH IVORY BLANCO,FE1630897,SCHULABLEND (ABS/PA) M/MK K200,PFB00,Activo
1630403-FEH-F-Z1,Control Disc LH,1630403,KEPITAL F20-03 LOF BBK BLACK,PFA00,Activo
1630404-FEH-F-Z1,Control Disc RH,1630404,KEPITAL F20-03 LOF BBK BLACK,PFA00,Activo
1630405B-FEH-F-Z1,BEZEL ARM SUPPORT CANBERRA BEI,FE1630902,SCHULABLEND (ABS/PA) M/MK K200,PFB00,Activo
1630405C-FEH-F-Z1,BEZEL ARM SUPPORT BLANCO MARFI,FE1630903,SCHULABLEND (ABS/PA) M/MK K200,PFB00,Activo
1630405-FEH-F-Z1,BEZEL ARM SUPPORT NEGRO,1630405,SCHULABLEND (ABS/PA) M/MK K200,PFB00,Activo
1630406-FEH-F-Z1,BEARING BRACKET,1630406,PRET PP A422-LG20ZE B12378L,PFA00,Activo
1630407-FEH-F-Z1,CARRIER ARM SUPPORT,1630407,SCHULABLEND (ABS/PA) M/MK K200,PFA00,Activo
1630408-FEH-F-Z1,CARRIER,1630408,POLYRAM POLYTRON P50B01 BLACK,PFA00,Activo
1631073A-FEH-F-Z1,BEZEL SCREW NEGRO,FE470290103601080,SCHULABLEND (ABS/PA) M/MK K200,PFA00,Activo
1631073B-FEH-F-Z1,BEZEL SCREW CANBERRA BEIGE,FE470290103601000,SCHULABLEND (ABS/PA) M/MK K200,PFA00,Activo
1631073C-FEH-F-Z1,BEZEL SCREW BLANCO IVORY,FE470290103601050,SCHULABLEND (ABS/PA) M/MK K200,PFA00,Activo
163-CR-F-10Z2,CONECTOR RECTO 50163 (M164),T50163 C,GRILAMID LV3 ESD BLACK,PFA00,Activo
169-19-F-MTZ1,CORE JACKET 169-19,63160-169-19,RYNITE 935 BK 505,PFA00,Activo
17028235016-NM-F-Z1,HOUSING PS3 NW16-0º,17028235016,TECHNYL A218V30 BLACK 34NG NOR,PFA00,No utilizable
17028236016-NM-F-Z1,HOUSING PS3 NW16-45º,17028236016,TECHNYL A218V30 BLACK 34NG NOR,PFA00,No utilizable
1789P050137-40E-NM-F,Elbow safe lock body Ø7.89mm,1789P050137-100-40E,RILSAMID AZM30 BLK T6L D,PFA00,Activo
1789P050137-50E-NM-F,Elbow safe lock body Ø7.89mm,1789P050137-100-50E,RILSAMID ASR13,PFA00,Activo
1789P050207A-NM-F-Z1,PL-Washers,1789P050207A,TECHNYL A218 S30 BLACK NORMA,PFB00,Activo
1789P050504-40D-NM-F,Corps équerre safe lock Ø7.89m,1789P050504-100-40,RILSAMID AZM30 BLK T6L D,PFA00,Activo
1789P050504-50D-NM-F,Elbow safe lock body Ø7.89mm,1789P050504-100-50D,RILSAMID ASR13,PFA00,Activo
1789P051223-40C-NM-F,90° SFL BODY Ø7.89mm WITH Ø2.7,1789P051223-100-40C,RILSAMID AZM30 BLK T6L D,PFA00,Activo
1789P051313-40C-NM-F,Corps 90° SFL Ø7.89mm avec res,1789P051313-100-40,RILSAMID AZM30 BLK T6L D,PFA00,Activo
1789P051510-SL-F-40,Con. SL 180°  Ø7.89  2 O'ring ,1789P051510-40 ,RILSAMID AZM30 BLK T6L D,PFA00,Activo
1789P051644-40A-NM-F,Elbow body Ø7.89mm 2 o'rings,1789P051644-40A,RILSAMID AZM30 BLK T6L D,PFA00,Activo
1789P051644-CC-F-40,Elbow Body SL 90° Ø7.89 Rest. ,1789P051644-40 ,RILSAMID AZM30 BLK T6L D,PFA00,Activo
1789P051645-SL-F-40,Con. SL 180° Ø7.89 2 O´rings R,1789P051645-40 ,RILSAMID AZM30 BLK T6L D,PFA00,Activo
1789P051734-40A-NM-F,Corps 90° SFL Ø7.89mm avec res,1789P051734-40,RILSAMID AZM30 BLK T6L D,PFA00,Activo
1789P051734-SL-F-40,Elbow body Ø5/16'SFL'Ø2.75mm R,1789P051734-40,RILSAMID AZM30 BLK T6L D,PFA00,Activo
1789P051831-NM-F-Z1,Corps 90° SFL Ø7.89mm avec res,1789P051831-40,RILSAMID AZM30 BLK T6L D,PFA00,Activo
17910534-RO-OR-Z1,RECEPTACLE DUMMY INSERT,17910534,RYTON R4 XT,PFA00,Activo
17910534-RO-SF-Z1/0,RECEPTACLE DUMMY INSERT SEMI,17910534,RYTON R4 XT,SFA00,Activo
17910535-RO-OR-Z1,PLUG DUMMY INSERT,17910535,RYTON R4 XT,PFA00,Activo
17910535-RO-SF-Z1/0,PLUG DUMMY INSERT SEMI,17910535,RYTON R4 XT,SFA00,Activo
17910600-RO-F-Z1,RECEPTACLE DUMMY INSERT 600,17910600,RYTON R4 XT,PFA00,Activo
17910601-RO-F-Z1,PLUG DUMMY INSERT 601,17910601,RYTON R4 XT,PFA00,Activo
1792P051607-10-NM-F,TEE BODY Ø1/2- 5mm,1792P051607-10,TECHNYL A218V30 BLACK 34NG NOR,PFA00,No utilizable
1792P051608-10-NM-F,TEE BODY Ø1/2- 6mm,1792P051608-10,TECHNYL A218V30 BLACK 34NG NOR,PFA00,No utilizable
1811862-2-TEH-F-Z1,DIELECTRIC' FRONT' SOCKET' 2 P,1811862-2,MITSUI TPX-MBZ 230 PMP NATURAL,PFA00,Activo
1811863-2-TEH-F-Z1,DIELECTRIC' FRONT' PIN' 2 PIEC,1811863-2,MITSUI TPX-MBZ 230 PMP NATURAL,PFA00,Activo
1811864-1-TEH-F-Z1,DIELECTRIC' REAR' PIN AND SOCK,1811864-1,MITSUI TPX-MBZ 230 PMP NATURAL,PFA00,Activo
181-SL-F-40Z1,181-SL-F-40Z1,T50181 100 40,RILSAMID AZM30 BLK T6L D,PFA00,Activo
182912-01-ISR-ER-Z1,BAUGRUPPE TABLET COVER,182912-01/07,POLYFORT FPP 2181HU-3399 BLK,PFA00,Activo
182940-ISR-SEMI-Z1,TABLET COVER,182940-01,POLYFORT FPP 2181HU-3399 BLK,SFA00,Activo
183-CC-F-40Z1,CORPS EQUERRE 5/8 1 JOINT TUBE,T50183 40,RILSAMID AZM30 BLK T6L D,PFA00,Activo
184-SL-F-40Z1,ELBOW BODY 5/8 SL  2 O`RINGS,T50184 100 40,RILSAMID AZM30 BLK T6L D,PFA00,Activo
1925233-1-TEH-F-Z1,Insulator' plug circular' 7 po,1925233-1,Ryton R-4-230BL,PFA00,Activo
1925234-1-TEH-F-Z1,Circular Insulator Plug 7 Pos,1925234-1,Ryton R-4-230BL,PFA00,Activo
1925235-1-TEH-F-Z1,Circular Insulator Plug 19 Po,1925235-1,Ryton R-4-230BL,PFA00,Activo
1925236-1-TEH-F-Z1,Circular Insulator Recept.19 P,1925236-1,Ryton R-4-230BL,PFA00,Activo
1925237-1-TEH-F-Z1,Insulator' plug circular' 44 p,1925237-1,Ryton R-4-230BL,PFA00,Activo
1925238-1-TEH-F-Z1,Insulator Receptacle circular,1925238-1,Ryton R-4-230BL,PFA00,Activo
194-CR-F-40Z1,"CORPS DROIT 5/8"""" 1jt. 1/2""""""",T50194 40,RILSAMID AZM30 BLK T6L D,PFA00,Activo
195438-HR-F-Z1,"FITTING ELBOW 1/4"""" INLET""",195438,Texin 985AU,PFA00,Activo
1954575-1-TEH-F-Z1,INSERT' FRONT' PIN' QUARAX' 2m,1954575-1,MITSUI TPX-MBZ 230 PMP NATURAL,PFA00,Activo
196-CC-F-40Z1,"CORPS EQUERRE 5/8"""" 1 joint""",T50196 40,RILSAMID AZM30 BLK T6L D,PFA00,Activo
197-CC-F-40Z1,"CORPS EQUERRE 5/8"""" 2jts""""",T50197 40,RILSAMID AZM30 BLK T6L D,PFA00,Activo
198-CR-F-40Z1,CORPS DROIT 12.82mm 50198,T50198 40,RILSAMID AZM30 BLK T6L D,PFA00,Activo
1996671-1-TEH-OR-Z1,150 POSITION INSERT MONOBLOCK ,1996671-1,RYTON R4 220 BK,PFA00,Activo
1996671-1-TEH-SF,150 POSITION INSERT MONOBLOCK ,1996671-1,RYTON R4 220 BK,SFA00,Activo
1996671-2-TEH-OR-Z1,150 POSITION INSERT MONOBLOCK ,1996671-2,RYTON R4 220 BK,PFA00,Activo
1996671-2-TEH-SF,150 POSITION INSERT MONOBLOCK ,1996671-2,RYTON R4 220 BK,SFA00,Activo
199843-STA-F-Z1,PROTECTIVE TUBE (HOUSING),199843,ECOMID B GF20 BK 9005/Z,PFA00,Activo
2000034-2-TEH-F-Z1,INSERT' FRONT' PIN' QUADRAX,2000034-2,MITSUI TPX-MBZ 230 PMP NATURAL,PFA00,Activo
2000037-2-TEH-F-Z1,INSERT' FRONT' SOCKET' QUADRAX,2000037-2,MITSUI TPX-MBZ 230 PMP NATURAL,PFA00,Activo
2000212-1-TEH-F-Z1,HOUSING ENTRY WIRE MANAGEMENT ,2000212-1,BAYBLEND FR3010 PC+ABS BK,PFA00,Activo
2000212-2-TEH-F-Z1,HOUSING ENTRY WIRE MANAGEMENT ,2000212-2,BAYBLEND FR3010 PC+ABS BK,PFA00,Activo
2000213-1-TEH-F-Z1,COVER ENTRY WIRE MANAGMENT 787,2000213-1,BAYBLEND FR3010 PC+ABS BK,PFA00,Activo
20011560-00-TES-F-Z1,MR Mounting Bracket for PT9000,20011560-00,TECHNYL A218V30 BLACK 34NG NOR,PFA00,Activo
20017207-00-TES-F-Z1,BRACKET'MR'SK AND SR,20017207-00,TECHNYL A218V30 BLACK 34NG NOR,PFA00,Activo
20018147-00-TES-F-Z1,SPRING ARBOR' MR' FOR SK,20018147-00,MITSUI TPX-MBZ 230 PMP NATURAL,PFA00,Activo
20020906-00-TES-F-Z1,REC' 6P' GRY' N' DTM04-6P FOR ,20020906-00,AKULON M-2360/HS,PFA00,Activo
201052-BRP-F-Z1,PLUG,201052,TECHNYL A218 V30 34 NG ,PFA00,Activo
201192-RX-F-Z1,FITTING ,201192,ULTRAMID A3HG6 HR BK23591,PFA00,No utilizable
20515688-RO-OR-Z1,BACKSHELL CAPOT,20515688,RYTON R4 XT,PFA00,Activo
20515688-RO-SF-Z1/0,BACKSHELL CAPOT SEMI,20515688,RYTON R4 XT,SFA00,Activo
20515688-RO-SF-Z1/1,BACKSHELL CAPOT SEMI,20515688,RYTON R4 XT,SFA00,Activo
20515808-RO-OR-Z1,CAPOT SUPERIEUR #B,20515808,RYTON R4 XT,PFA00,Activo
20515808-RO-SF-Z1/0,Capot Superieur #B SEMI,20515808,RYTON R4 XT,SFA00,Activo
20515808-RO-SF-Z1/1,Capot Superieur #B SEMI,20515808,RYTON R4 XT,SFA00,Activo
20515818-RO-OR-Z1,Capot Inferieur,20515818,RYTON R4 XT,PFA00,Activo
20515818-RO-SF-Z1/0,Capot Inferieur SEMI,20515818,RYTON R4 XT,SFA00,Activo
20515818-RO-SF-Z1/1,Capot Inferieur SEMI,20515818,RYTON R4 XT,SFA00,Activo
